"year"|"categ"|"year.1"
"1938 (11th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Hal B. Wallis"
"1938 (11th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JOHN AALBERG and the RKO RADIO STUDIO SOUND DEPARTMENT for the application of compression to variable area recording in motion picture production. [Sound]"
"1938 (11th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To BYRON HASKIN and the SPECIAL EFFECTS DEPARTMENT OF WARNER BROS. STUDIO for pioneering the development and for the first practical application to motion picture production of the triple head background projector. [Special Photographic]"
"1939 (12th)"|"ACTOR"|"Robert Donat -- Goodbye, Mr. Chips  {\"Mr. Chips\"}"
"1939 (12th)"|"ACTOR IN A SUPPORTING ROLE"|"Thomas Mitchell -- Stagecoach  {\"Dr. Josiah Boone\"}"
"1939 (12th)"|"ACTRESS"|"Vivien Leigh -- Gone with the Wind  {\"Scarlett O'Hara\"}"
"1939 (12th)"|"ACTRESS IN A SUPPORTING ROLE"|"Hattie McDaniel -- Gone with the Wind  {\"Mammy\"}"
"1939 (12th)"|"ART DIRECTION"|"Gone with the Wind  -- Lyle Wheeler"
"1939 (12th)"|"CINEMATOGRAPHY (Black-and-White)"|"Wuthering Heights  -- Gregg Toland"
"1939 (12th)"|"CINEMATOGRAPHY (Color)"|"Gone with the Wind  -- Ernest Haller, Ray Rennahan"
"1939 (12th)"|"DIRECTING"|"Gone with the Wind  -- Victor Fleming"
"1939 (12th)"|"FILM EDITING"|"Gone with the Wind  -- Hal C. Kern, James E. Newcom"
"1939 (12th)"|"MUSIC (Original Score)"|"The Wizard of Oz --  Herbert Stothart"
"1939 (12th)"|"MUSIC (Scoring)"|"Stagecoach --  Richard Hageman, Frank Harling, John Leipold, Leo Shuken"
"1939 (12th)"|"MUSIC (Song)"|"\"Over The Rainbow\" from The Wizard of Oz  -- Music by Harold Arlen; Lyrics by E. Y. Harburg"
"1939 (12th)"|"OUTSTANDING PRODUCTION"|"Gone with the Wind  -- Selznick International Pictures"
"1939 (12th)"|"SHORT SUBJECT (Cartoon)"|"The Ugly Duckling --  Walt Disney, Producer"
"1939 (12th)"|"SHORT SUBJECT (One-reel)"|"Busy Little Bears --  Paramount"
"1939 (12th)"|"SHORT SUBJECT (Two-reel)"|"Sons of Liberty --  Warner Bros."
"1939 (12th)"|"SOUND RECORDING"|"When Tomorrow Comes --  Universal Studio Sound Department, Bernard B. Brown, Sound Director"
"1939 (12th)"|"SPECIAL EFFECTS"|"The Rains Came  -- Fred Sersen, E. H. Hansen"
"1939 (12th)"|"WRITING (Original Story)"|"Mr. Smith Goes to Washington  -- Lewis R. Foster"
"1939 (12th)"|"WRITING (Screenplay)"|"Gone with the Wind  -- Sidney Howard"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SPECIAL AWARD"|"To The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership. Presented to Jean Hersholt, President; Ralph Morgan, Chairman of the Executive Committee; Ralph Block, First Vice-President; and Conrad Nagel."
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SPECIAL AWARD"|"To Judy Garland for her outstanding performance as a screen juvenile during the past year."
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SPECIAL AWARD"|"To William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind."
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SPECIAL AWARD"|"To the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen."
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"IRVING G. THALBERG MEMORIAL AWARD"|"David O. Selznick"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To GEORGE ANDERSON of Warner Bros. Studio for an improved positive head for sun arcs. [Lighting]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JOHN ARNOLD of Metro-Goldwyn-Mayer Studio for the M-G-M mobile camera crane. [Camera Cranes]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To THOMAS T. MOULTON, FRED ALBIN and the SOUND DEPARTMENT OF THE SAMUEL GOLDWYN STUDIO for the origination and application of the Delta db test to sound recording in motion pictures. [Laboratory]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To FARCIOT EDOUART, JOSEPH E. ROBBINS, WILLIAM RUDOLPH and PARAMOUNT PICTURES, INC. for the design and construction of a quiet portable treadmill. [Stage Operations]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To EMERY HUSE and RALPH B. ATKINSON of the Eastman Kodak Company for their specifications for chemical analysis of photographic developers and fixing baths. [Laboratory]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To HAROLD NYE of Warner Bros. Studio for a miniature incandescent spot lamp. [Lighting]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To A. J. TONDREAU of Warner Bros. Studio for the design and manufacture of an improved sound track printer. [Laboratory]"
"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"For important contributions in cooperative development of new improved Process Projection Equipment: F. R. ABBOTT, HALLER BELT, ALAN COOK and the BAUSCH & LOMB OPTICAL COMPANY for faster projection lenses; The MITCHELL CAMERA COMPANY for a new type process projection head; MOLE-RICHARDSON COMPANY for a new type automatically controlled projection arc lamp; CHARLES HANDLEY, DAVID JOY and the NATIONAL CARBON COMPANY for improved and more stable high-intensity carbons; WINTON HOCH and the TECHNICOLOR MOTION PICTURE CORP. for an auxiliary optical system; DON MUSGRAVE and SELZNICK INTERNATIONAL PICTURES, INC. for pioneering in the use of coordinated equipment in the production, Gone with the Wind. [Special Photographic]"
"1940 (13th)"|"ACTOR"|"James Stewart -- The Philadelphia Story  {\"Mike Connor\"}"
"1940 (13th)"|"ACTOR IN A SUPPORTING ROLE"|"Walter Brennan -- The Westerner  {\"Judge Roy Bean\"}"
"1940 (13th)"|"ACTRESS"|"Ginger Rogers -- Kitty Foyle  {\"Kitty Foyle\"}"
"1940 (13th)"|"ACTRESS IN A SUPPORTING ROLE"|"Jane Darwell -- The Grapes of Wrath  {\"Ma Joad\"}"
"1940 (13th)"|"ART DIRECTION (Black-and-White)"|"Pride and Prejudice  -- Cedric Gibbons, Paul Groesse"
"1940 (13th)"|"ART DIRECTION (Color)"|"The Thief of Bagdad  -- Vincent Korda"
"1940 (13th)"|"CINEMATOGRAPHY (Black-and-White)"|"Rebecca  -- George Barnes"
"1940 (13th)"|"CINEMATOGRAPHY (Color)"|"The Thief of Bagdad  -- Georges Périnal"
"1940 (13th)"|"DIRECTING"|"The Grapes of Wrath  -- John Ford"
"1940 (13th)"|"FILM EDITING"|"North West Mounted Police  -- Anne Bauchens"
"1940 (13th)"|"MUSIC (Original Score)"|"Pinocchio --  Leigh Harline, Paul J. Smith, Ned Washington"
"1940 (13th)"|"MUSIC (Scoring)"|"Tin Pan Alley --  Alfred Newman"
"1940 (13th)"|"MUSIC (Song)"|"\"When You Wish Upon A Star\" from Pinocchio  -- Music by Leigh Harline; Lyrics by Ned Washington"
"1940 (13th)"|"OUTSTANDING PRODUCTION"|"Rebecca  -- Selznick International Pictures"
"1940 (13th)"|"SHORT SUBJECT (Cartoon)"|"The Milky Way --  Metro-Goldwyn-Mayer"
"1940 (13th)"|"SHORT SUBJECT (One-reel)"|"Quicker 'N a Wink --  Pete Smith, Producer"
"1940 (13th)"|"SHORT SUBJECT (Two-reel)"|"Teddy, the Rough Rider --  Warner Bros."
"1940 (13th)"|"SOUND RECORDING"|"Strike Up the Band --  Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
"1940 (13th)"|"SPECIAL EFFECTS"|"The Thief of Bagdad  -- Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney"
"1940 (13th)"|"WRITING (Original Screenplay)"|"The Great McGinty  -- Preston Sturges"
"1940 (13th)"|"WRITING (Original Story)"|"Arise, My Love  -- Benjamin Glazer, John S. Toldy"
"1940 (13th)"|"WRITING (Screenplay)"|"The Philadelphia Story  -- Donald Ogden Stewart"
"1940 (13th)"|"SPECIAL AWARD"|"To Bob Hope, in recognition of his unselfish services to the Motion Picture Industry."
"1940 (13th)"|"SPECIAL AWARD"|"To Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years, which has made possible the present efficient mobilization of the motion picture industry facilities for the production of Army Training Films."
"1940 (13th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To 20TH CENTURY-FOX FILM CORP. for the design and construction of the 20th Century Silenced Camera, developed by DANIEL CLARK, GROVER LAUBE, CHARLES MILLER and ROBERT W. STEVENS. [Camera]"
"1940 (13th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To WARNER BROS. STUDIO ART DEPARTMENT and ANTON GROT for the design and perfection of the Warner Bros. water ripple and wave illusion machine. [Stage Operations]"
"1941 (14th)"|"ACTOR"|"Gary Cooper -- Sergeant York  {\"Alvin C. York\"}"
"1941 (14th)"|"ACTOR IN A SUPPORTING ROLE"|"Donald Crisp -- How Green Was My Valley  {\"Mr. Morgan\"}"
"1941 (14th)"|"ACTRESS"|"Joan Fontaine -- Suspicion  {\"Lina McLaidlaw\"}"
"1941 (14th)"|"ACTRESS IN A SUPPORTING ROLE"|"Mary Astor -- The Great Lie  {\"Sandra Kovak\"}"
"1941 (14th)"|"ART DIRECTION (Black-and-White)"|"How Green Was My Valley  -- Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little"
"1941 (14th)"|"ART DIRECTION (Color)"|"Blossoms in the Dust  -- Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis"
"1941 (14th)"|"CINEMATOGRAPHY (Black-and-White)"|"How Green Was My Valley  -- Arthur Miller"
"1941 (14th)"|"CINEMATOGRAPHY (Color)"|"Blood and Sand  -- Ernest Palmer, Ray Rennahan"
"1941 (14th)"|"DIRECTING"|"How Green Was My Valley  -- John Ford"
"1941 (14th)"|"DOCUMENTARY (Short Subject)"|"Churchill's Island  -- National Film Board of Canada"
"1941 (14th)"|"FILM EDITING"|"Sergeant York  -- William Holmes"
"1941 (14th)"|"MUSIC (Music Score of a Dramatic Picture)"|"All That Money Can Buy --  Bernard Herrmann"
"1941 (14th)"|"MUSIC (Scoring of a Musical Picture)"|"Dumbo --  Frank Churchill, Oliver Wallace"
"1941 (14th)"|"MUSIC (Song)"|"\"The Last Time I Saw Paris\" from Lady Be Good  -- Music by Jerome Kern; Lyrics by Oscar Hammerstein II"
"1941 (14th)"|"OUTSTANDING MOTION PICTURE"|"How Green Was My Valley  -- 20th Century-Fox"
"1941 (14th)"|"SHORT SUBJECT (Cartoon)"|"Lend a Paw --  Walt Disney, Producer"
"1941 (14th)"|"SHORT SUBJECT (One-reel)"|"Of Pups and Puzzles --  Metro-Goldwyn-Mayer"
"1941 (14th)"|"SHORT SUBJECT (Two-reel)"|"Main Street on the March! --  Metro-Goldwyn-Mayer"
"1941 (14th)"|"SOUND RECORDING"|"That Hamilton Woman --  General Service Sound Department, Jack Whitney, Sound Director"
"1941 (14th)"|"WRITING (Original Screenplay)"|"Citizen Kane  -- Herman J. Mankiewicz, Orson Welles"
"1941 (14th)"|"WRITING (Original Story)"|"Here Comes Mr. Jordan  -- Harry Segall"
"1941 (14th)"|"WRITING (Screenplay)"|"Here Comes Mr. Jordan  -- Sidney Buchman, Seton I. Miller"
"1941 (14th)"|"SPECIAL AWARD"|"To Rey Scott for his extraordinary achievement in producing Kukan, the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions."
"1941 (14th)"|"SPECIAL AWARD"|"To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, Target for Tonight."
"1941 (14th)"|"SPECIAL AWARD"|"To Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, Fantasia, thereby widening the scope of the motion picture as entertainment and as an art form."
"1941 (14th)"|"SPECIAL AWARD"|"To Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company for their outstanding contribution to the advancement of the use of sound in motion pictures through the production of Fantasia."
"1941 (14th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Walt Disney"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To ELECTRICAL RESEARCH PRODUCTS DIVISION OF WESTERN ELECTRIC CO., INC., for the development of the precision integrating sphere densitometer. [Laboratory]"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To RCA MANUFACTURING COMPANY for the design and development of the MI-3043 Uni-directional microphone. [Sound]"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RAY WILKINSON and the PARAMOUNT STUDIO LABORATORY for pioneering in the use of and for the first practical application to release printing of fine grain positive stock. [Film]"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To CHARLES LOOTENS and the REPUBLIC STUDIO SOUND DEPARTMENT for pioneering the use of and for the first practical application to motion picture production of CLASS B push-pull variable area recording. [Sound]"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To WILBUR SILVERTOOTH and the PARAMOUNT STUDIO ENGINEERING DEPARTMENT for the design and computation of a relay condenser system applicable to transparency process projection, delivering considerably more usable light. [Special Photographic]"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PARAMOUNT PICTURES, INC., and 20TH CENTURY-FOX FILM CORP. for the development and first practical application to motion picture production of an automatic scene slating device. [Stage Operations]"
"1941 (14th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT, and to LOREN RYDER and the PARAMOUNT STUDIO SOUND DEPARTMENT for pioneering the development of fine grain emulsions for variable density original sound recording in studio production. [Sound]"
"1942 (15th)"|"ACTOR"|"James Cagney -- Yankee Doodle Dandy  {\"George M. Cohan\"}"
"1942 (15th)"|"ACTOR IN A SUPPORTING ROLE"|"Van Heflin -- Johnny Eager  {\"Jeff Hartnett\"}"
"1942 (15th)"|"ACTRESS"|"Greer Garson -- Mrs. Miniver  {\"Kay Miniver\"}"
"1942 (15th)"|"ACTRESS IN A SUPPORTING ROLE"|"Teresa Wright -- Mrs. Miniver  {\"Carol Beldon\"}"
"1942 (15th)"|"ART DIRECTION (Black-and-White)"|"This above All  -- Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
"1942 (15th)"|"ART DIRECTION (Color)"|"My Gal Sal  -- Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
"1942 (15th)"|"CINEMATOGRAPHY (Black-and-White)"|"Mrs. Miniver  -- Joseph Ruttenberg"
"1942 (15th)"|"CINEMATOGRAPHY (Color)"|"The Black Swan  -- Leon Shamroy"
"1942 (15th)"|"DIRECTING"|"Mrs. Miniver  -- William Wyler"
"1942 (15th)"|"DOCUMENTARY"|"The Battle of Midway  -- United States Navy"
"1942 (15th)"|"DOCUMENTARY"|"Kokoda Front Line!  -- Australian News & Information Bureau"
"1942 (15th)"|"DOCUMENTARY"|"Moscow Strikes Back  -- Artkino"
"1942 (15th)"|"DOCUMENTARY"|"Prelude to War  -- United States Army Special Services"
"1942 (15th)"|"FILM EDITING"|"The Pride of the Yankees  -- Daniel Mandell"
"1942 (15th)"|"MUSIC (Music Score of a Dramatic or Comedy Picture)"|"Now, Voyager --  Max Steiner"
"1942 (15th)"|"MUSIC (Scoring of a Musical Picture)"|"Yankee Doodle Dandy --  Ray Heindorf, Heinz Roemheld"
"1942 (15th)"|"MUSIC (Song)"|"\"White Christmas\" from Holiday Inn  -- Music and Lyrics by Irving Berlin"
"1942 (15th)"|"OUTSTANDING MOTION PICTURE"|"Mrs. Miniver  -- Metro-Goldwyn-Mayer"
"1942 (15th)"|"SHORT SUBJECT (Cartoon)"|"Der Fuehrer's Face --  Walt Disney, Producer"
"1942 (15th)"|"SHORT SUBJECT (One-reel)"|"Speaking of Animals and Their Families --  Paramount"
"1942 (15th)"|"SHORT SUBJECT (Two-reel)"|"Beyond the Line of Duty --  Warner Bros."
"1942 (15th)"|"SOUND RECORDING"|"Yankee Doodle Dandy --  Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
"1942 (15th)"|"SPECIAL EFFECTS"|"Reap the Wild Wind  -- Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop"
"1942 (15th)"|"WRITING (Original Motion Picture Story)"|"The Invaders  -- Emeric Pressburger"
"1942 (15th)"|"WRITING (Original Screenplay)"|"Woman of the Year  -- Ring Lardner, Jr., Michael Kanin"
"1942 (15th)"|"WRITING (Screenplay)"|"Mrs. Miniver  -- Arthur Wimperis, George Froeschel, James Hilton, Claudine West"
"1942 (15th)"|"SPECIAL AWARD"|"To Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry."
"1942 (15th)"|"SPECIAL AWARD"|"To Noel Coward for his outstanding production achievement in In Which We Serve."
"1942 (15th)"|"SPECIAL AWARD"|"To Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the \"Andy Hardy\" series of films."
"1942 (15th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Sidney Franklin"
"1942 (15th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To CARROLL CLARK, F. THOMAS THOMPSON and the RKO RADIO STUDIO ART and MINIATURE DEPARTMENTS for the design and construction of a moving cloud and horizon machine. [Stage Operations]"
"1942 (15th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To DANIEL B. CLARK and the 20TH CENTURY-FOX FILM CORP. for the development of a lens calibration system and the application of this system to exposure control in cinematography. [Lenses and Filters]"
"1942 (15th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ROBERT HENDERSON and the PARAMOUNT STUDIO ENGINEERING and TRANSPARENCY DEPARTMENTS for the design and construction of adjustable light bridges and screen frames for transparency process photography. [Special Photographic]"
"1942 (15th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To DANIEL J. BLOOMBERG and the REPUBLIC STUDIO SOUND DEPARTMENT for the design and application to motion picture production of a device for marking action negative for pre-selection purposes. [Laboratory]"
